Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
POST AUTH REGISTER,10,2404,1236,4917,1229.55,100.000%,.83984,0.48,0.45,586.0
POST AUTH LOGIN,10,1009,353,1750,572.73,50.000%,.84796,0.42,0.27,504.0
Debug Sampler,10,0,0,1,0.30,0.000%,.87413,0.45,0.00,526.3
POST SELLER PRODUCT,10,1316,346,3367,1036.18,40.000%,.82102,0.55,5.16,680.0
GET SELLER PRODUCT,10,736,309,2773,770.08,20.000%,.69166,0.49,0.36,721.0
GET SELLER PRODUCT ID,10,811,317,2042,660.30,30.000%,.68199,0.48,0.36,721.0
DELETE SELLER PRODUCT ID,10,1312,342,2680,811.58,100.000%,.64746,0.21,0.61,335.0
GET BUYER PRODUCT,10,30090,23422,40304,4861.06,100.000%,.21007,1619.91,0.11,7896320.6
GET BUYER PRODUCT ID,10,811,285,1634,407.97,20.000%,.41698,0.41,0.22,1015.0
POST BUYER ORDER,10,945,289,2233,570.94,90.000%,.43183,0.21,0.49,492.6
GET BUYER ORDER,10,862,297,1587,379.48,20.000%,.46984,0.32,0.24,690.4
GET BUYER ORDER ID,10,831,300,1545,430.47,30.000%,.48802,0.33,0.26,690.4
PUT BUYER ORDER ID,10,784,292,1409,436.39,100.000%,.51282,0.19,0.49,371.8
TOTAL,130,3224,0,40304,7915.69,53.846%,2.45965,1460.35,2.52,607973.4
